trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
167,False,"{'a': 0.355, 'e': 0.18824706563874677}",30,14,-37.424097683053425,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
168,False,"{'a': 0.355, 'e': 0.18637397603940997}",35,19,19.774182415794126,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.355, 'e': 0.18451952399298926}",25,6,16.542873230800495,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.355, 'e': 0.18268352405273464}",25,14,-20.60112983102406,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
171,False,"{'a': 0.355, 'e': 0.18086579261712207}",20,11,-9.464992602106934,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
172,False,"{'a': 0.355, 'e': 0.17906614791149322}",25,14,24.141956841871945,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.355, 'e': 0.17728440996987782}",20,14,-2.0698192629194354,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.355, 'e': 0.1755204006169969}",25,8,-28.878718956775575,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
175,False,"{'a': 0.355, 'e': 0.1737739434504451}",20,13,-34.527363186716315,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
176,False,"{'a': 0.355, 'e': 0.1720448638230505}",25,15,14.498053634603346,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.355, 'e': 0.17033298882540943}",25,1,10.877301298825078,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.355, 'e': 0.16863814726859552}",20,11,16.319397844079187,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.355, 'e': 0.1669601696670407}",25,15,15.432128099355326,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.355, 'e': 0.16529888822158653}",30,9,33.32871313117289,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.355, 'e': 0.16365413680270405}",35,25,9.64410842220686,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.355, 'e': 0.16202575093388075}",25,16,12.620615442518007,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.355, 'e': 0.16041356777517277}",25,8,14.901111840756872,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.355, 'e': 0.15881742610692068}",20,7,22.873713521850075,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.355, 'e': 0.1572371663136276}",25,0,5.111434990596376,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
186,False,"{'a': 0.355, 'e': 0.1556726303679973}",20,11,5.586010313618147,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.355, 'e': 0.1541236618151314}",20,12,11.779959611790748,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.355, 'e': 0.15259010575688386}",30,20,17.919718806405754,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.355, 'e': 0.1510718088363708}",20,0,18.30316922303558,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
190,False,"{'a': 0.355, 'e': 0.14956861922263504}",20,12,-38.94716088686054,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
191,False,"{'a': 0.355, 'e': 0.14808038659546244}",25,15,15.124416622777428,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.355, 'e': 0.14660696213035015}",30,8,-10.46079243606533,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
193,False,"{'a': 0.355, 'e': 0.14514819848362376}",30,17,21.45839259442777,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.355, 'e': 0.14370394977770293}",25,13,24.15339474690564,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.355, 'e': 0.1422740715865136}",25,20,9.750467702510308,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.355, 'e': 0.140858420921045}",20,0,20.943955819489535,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
197,False,"{'a': 0.355, 'e': 0.13945685621505094}",25,15,8.390624972062847,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.355, 'e': 0.13806923731089282}",25,19,14.3519800698625,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.355, 'e': 0.13669542544552385}",25,20,11.53376513395798,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.355, 'e': 0.1353352832366127}",25,18,12.054570543426195,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.355, 'e': 0.13398867466880493}",20,11,14.55518316404492,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.355, 'e': 0.13265546508012172}",25,15,18.36686828938354,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.355, 'e': 0.13133552114849303}",20,10,18.919513225398255,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.355, 'e': 0.1300287108784259}",20,2,12.976950081395145,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
205,False,"{'a': 0.355, 'e': 0.12873490358780423}",25,14,24.22026793921049,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.355, 'e': 0.12745396989482075}",30,12,15.392081287229514,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.355, 'e': 0.12618578170503877}",25,7,32.06193453420699,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.355, 'e': 0.12493021219858241}",20,8,24.567591049772233,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.355, 'e': 0.12368713581745483}",20,15,11.600317945138146,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.355, 'e': 0.12245642825298189}",20,12,-7.050306245847652,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
211,False,"{'a': 0.355, 'e': 0.12123796643338168}",25,11,23.6660505939074,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.355, 'e': 0.12003162851145673}",20,15,10.931289191549212,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.355, 'e': 0.11883729385240964}",20,14,9.104727863089424,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.355, 'e': 0.11765484302177918}",20,3,24.071028634704092,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.355, 'e': 0.11648415777349697}",25,9,-13.954473256716163,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
216,False,"{'a': 0.355, 'e': 0.11532512103806251}",25,12,23.263080071484712,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.355, 'e': 0.11417761691083649}",30,12,-28.409732148952315,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
218,False,"{'a': 0.355, 'e': 0.11304153064044985}",20,14,10.565088080379535,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.355, 'e': 0.11191674861732889}",20,7,-0.4322677028109059,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
220,False,"{'a': 0.355, 'e': 0.11080315836233387}",20,6,24.504074447678832,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.355, 'e': 0.10970064851551141}",25,10,1.168884997915398,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
222,False,"{'a': 0.355, 'e': 0.10860910882495797}",20,0,27.290149082968494,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
